City,Date,Time,Anomaly_Upload_Download_Ratio,Consistency_External_Connections,DNS_Response_Time,Change_Traffic_Type,Latency_Variability,Response_Service_Disruptions,Changes_Network_Topology,Throttling_Traffic_Management,End_Point_Issues,Network_Jitter,Historical_Data_Analysis,Server_Response_Time,Correlation_Third_Party_Services,Frequent_IP_Address_Changes,Unplanned_Maintenance,Comparative_Subnet_Performance,Connection_Drops_Handovers
Tehran,9/1/2023,3:10:00 AM,0.87,68,197,30,6,86,1,12,9,24.36,10,228,15,1,1,79,83
Tehran,9/1/2023,3:20:00 AM,1.08,49,145,29,38,29,0,45,14,13.97,19,96,42,0,0,7,33
Tehran,9/1/2023,3:30:00 AM,1.32,56,99,38,4,58,1,29,65,32.54,28,203,39,0,0,13,88
Tehran,9/1/2023,3:40:00 AM,0.65,38,138,97,36,40,0,32,63,19.82,70,18,56,0,1,78,80
Tehran,9/1/2023,3:50:00 AM,1.17,61,116,82,16,63,1,14,93,39.87,79,200,31,0,1,52,35
Tehran,9/1/2023,4:00:00 AM,1.4,25,162,58,25,35,1,40,80,6.21,29,282,31,1,1,75,55
Tehran,9/1/2023,4:10:00 AM,0.57,28,64,52,35,84,1,15,95,32.47,50,81,21,1,1,86,72
Tehran,9/1/2023,4:20:00 AM,0.6,58,99,27,34,78,1,16,84,27.6,47,269,16,1,1,38,97
Tehran,9/1/2023,4:30:00 AM,1.1,2,137,1,28,3,1,12,84,35.75,72,84,60,0,0,33,30
Tehran,9/1/2023,4:40:00 AM,0.7,18,59,94,14,80,1,71,36,20.3,34,184,91,1,1,46,16
Tehran,9/1/2023,4:50:00 AM,0.66,95,103,51,11,21,1,73,28,1.25,75,294,28,1,0,28,9
Tehran,9/1/2023,5:00:00 AM,1.19,7,111,90,4,30,1,6,17,15.26,2,253,61,0,1,90,10
Tehran,9/1/2023,5:10:00 AM,1.27,85,64,97,42,42,1,51,64,9.3,59,120,48,0,1,67,11
Tehran,9/1/2023,5:20:00 AM,1.32,77,35,91,43,20,1,92,16,44.03,54,72,70,0,0,14,31
Tehran,9/1/2023,5:30:00 AM,1.22,11,157,16,31,26,1,97,42,10.79,56,48,0,1,0,18,55
Tehran,9/1/2023,5:40:00 AM,0.57,73,148,80,43,74,1,37,24,35.23,94,172,76,1,1,66,15
Tehran,9/1/2023,5:50:00 AM,1.13,9,90,97,28,43,0,91,50,48.14,26,99,40,0,1,75,35
Tehran,9/1/2023,6:00:00 AM,1.01,24,162,34,38,30,1,100,32,39.34,27,161,0,0,0,92,59
Tehran,9/1/2023,6:10:00 AM,1.12,44,44,1,21,14,0,5,92,28.71,52,267,31,1,1,88,44
Tehran,9/1/2023,6:20:00 AM,0.99,25,137,26,43,99,1,48,90,36.25,89,145,1,0,1,33,81
Tehran,9/1/2023,6:30:00 AM,1.06,6,141,36,17,21,0,88,22,39.67,48,201,24,0,1,50,12
Tehran,9/1/2023,6:40:00 AM,0.97,83,80,15,36,84,1,20,8,38.9,8,246,28,0,1,72,7
Tehran,9/1/2023,6:50:00 AM,0.87,59,42,36,43,88,0,52,77,34.91,11,256,50,1,0,15,65
Tehran,9/1/2023,7:00:00 AM,1.26,47,198,96,49,77,1,69,35,13.23,89,83,75,0,0,65,50
Tehran,9/1/2023,7:10:00 AM,0.95,97,55,61,34,98,0,15,40,43.38,26,291,88,1,1,37,34
Tehran,9/1/2023,7:20:00 AM,0.82,91,197,67,37,81,0,92,20,35.05,58,289,98,0,1,39,59
Tehran,9/1/2023,7:30:00 AM,1.44,35,174,3,11,35,1,68,56,14.22,87,147,81,1,0,9,100
Tehran,9/1/2023,7:40:00 AM,0.83,16,189,80,7,79,1,31,20,30.69,80,86,24,1,0,20,20
Tehran,9/1/2023,7:50:00 AM,0.66,97,124,5,46,63,0,73,2,48.67,44,42,88,0,1,13,0
Tehran,9/1/2023,8:00:00 AM,1.1,26,73,87,31,51,0,71,13,8.06,72,293,88,1,1,17,18
Tehran,9/1/2023,8:10:00 AM,1.32,26,18,87,22,4,1,28,24,17.22,30,188,21,1,1,83,90
Tehran,9/1/2023,8:20:00 AM,1,16,137,37,47,9,1,55,86,6.13,72,176,50,1,0,14,19
Tehran,9/1/2023,8:30:00 AM,1.43,54,110,13,44,50,1,2,58,38.34,62,230,52,1,1,42,17
Tehran,9/1/2023,8:40:00 AM,0.65,71,155,71,16,0,1,66,68,16.82,20,88,65,0,0,57,78
Tehran,9/1/2023,8:50:00 AM,1.05,43,91,24,38,31,1,19,61,14.36,92,127,29,0,0,5,39
Tehran,9/1/2023,9:00:00 AM,1.44,5,18,27,49,64,0,90,34,27.85,53,18,70,0,0,8,69
Tehran,9/1/2023,9:10:00 AM,0.65,36,167,85,12,32,0,0,98,26.69,50,199,32,0,1,39,85
Tehran,9/1/2023,9:20:00 AM,0.99,7,143,97,9,44,1,90,41,4.47,99,37,46,0,0,14,67
Tehran,9/1/2023,9:30:00 AM,0.79,69,68,76,5,31,1,30,100,4.88,99,70,75,1,1,22,86
Tehran,9/1/2023,9:40:00 AM,1.46,6,127,78,50,60,1,85,27,37.8,11,220,42,1,0,33,68
Tehran,9/1/2023,9:50:00 AM,1.28,54,166,55,20,70,0,98,4,44.06,20,252,67,1,1,87,90
Tehran,9/1/2023,10:00:00 AM,1.32,36,161,51,19,2,1,38,27,3.58,10,197,95,1,1,54,10
Tehran,9/1/2023,10:10:00 AM,1.15,8,35,70,26,10,0,23,25,14.01,35,130,78,0,1,52,12
Tehran,9/1/2023,10:20:00 AM,0.88,67,35,9,29,52,0,19,10,23.98,79,132,41,0,0,10,71
Tehran,9/1/2023,10:30:00 AM,1.44,37,66,66,41,69,1,62,93,41.64,75,274,25,1,0,11,52
Tehran,9/1/2023,10:40:00 AM,1.4,77,18,19,5,68,1,95,73,30.16,6,100,25,0,0,30,19
Tehran,9/1/2023,10:50:00 AM,1.39,30,28,83,11,19,1,72,12,9.05,65,292,37,1,1,41,2
Tehran,9/1/2023,11:00:00 AM,1.14,93,32,1,3,47,1,78,84,16.96,74,107,38,1,1,16,66
Tehran,9/1/2023,11:10:00 AM,1.24,85,107,67,14,9,0,17,94,28.99,73,45,2,0,1,36,92
Tehran,9/1/2023,11:20:00 AM,0.83,50,12,98,49,13,1,87,23,5.3,59,267,76,0,1,63,26
Tehran,9/1/2023,11:30:00 AM,1.31,100,22,49,8,23,1,76,27,30.74,88,138,43,0,0,41,48
Tehran,9/1/2023,11:40:00 AM,1.5,38,180,12,13,23,0,76,17,47.18,86,26,6,0,1,10,63
Tehran,9/1/2023,11:50:00 AM,0.73,72,39,33,47,72,1,12,55,38.9,36,45,91,1,1,73,2
Tehran,9/1/2023,12:00:00 PM,1.35,13,168,84,28,15,0,46,16,14.84,88,283,90,0,0,1,9
Tehran,9/1/2023,12:10:00 PM,0.54,42,143,10,28,31,0,53,41,34.51,79,293,29,0,0,48,85
Tehran,9/1/2023,12:20:00 PM,0.96,80,149,65,42,7,0,77,98,44.08,35,293,83,0,0,41,11
Tehran,9/1/2023,12:30:00 PM,0.79,100,102,73,23,44,1,87,15,47.04,82,198,58,0,1,70,93
Tehran,9/1/2023,12:40:00 PM,1.35,83,108,75,24,62,0,13,32,36.94,0,53,5,1,0,82,11
Tehran,9/1/2023,12:50:00 PM,1.25,76,27,83,15,8,0,62,28,33.15,4,52,76,1,1,68,22
Tehran,9/1/2023,1:00:00 PM,1.36,33,39,18,16,26,1,23,92,34.58,96,82,87,0,1,87,41
Tehran,9/1/2023,1:10:00 PM,1.26,87,73,4,3,38,1,32,94,27.98,18,88,77,0,1,76,99
Tehran,9/1/2023,1:20:00 PM,1.39,86,25,87,16,54,1,91,3,11.81,74,189,76,1,1,37,42
Tehran,9/1/2023,1:30:00 PM,0.87,40,181,29,23,74,1,87,37,10.58,25,59,75,0,0,11,85
Tehran,9/1/2023,1:40:00 PM,0.99,9,42,94,49,66,0,11,53,41.52,45,271,26,0,0,73,56
Tehran,9/1/2023,1:50:00 PM,1.23,92,11,49,44,19,1,32,19,46.12,3,91,92,1,0,64,81
Tehran,9/1/2023,2:00:00 PM,0.6,17,198,92,47,0,1,43,8,31.07,14,157,34,0,0,86,82
Tehran,9/1/2023,2:10:00 PM,1.2,27,114,72,17,41,1,54,96,31.22,27,189,27,1,1,90,40
Tehran,9/1/2023,2:20:00 PM,0.74,42,124,56,34,12,0,94,39,33.83,100,293,5,1,1,11,75
Tehran,9/1/2023,2:30:00 PM,1.13,57,181,21,13,9,0,94,84,16.21,93,109,42,1,0,15,58
Tehran,9/1/2023,2:40:00 PM,0.59,25,109,96,24,28,0,40,77,16.64,44,299,57,0,1,69,82
Tehran,9/1/2023,2:50:00 PM,0.9,69,152,55,38,71,1,12,77,16.55,4,10,12,1,0,58,29
Tehran,9/1/2023,3:00:00 PM,1.32,100,100,21,4,98,1,23,65,16.27,90,264,7,0,1,23,94
Tehran,9/1/2023,3:10:00 PM,0.95,69,63,70,48,38,0,31,69,8.7,61,201,19,0,1,29,2
Tehran,9/1/2023,3:20:00 PM,1.25,93,96,15,12,100,1,2,30,22.65,66,110,29,0,0,72,1
Tehran,9/1/2023,3:30:00 PM,1.24,79,22,82,39,9,0,53,18,46.75,51,149,33,1,0,4,25
Tehran,9/1/2023,3:40:00 PM,0.73,23,109,47,36,83,1,92,68,1.03,13,144,43,0,0,16,64
Tehran,9/1/2023,3:50:00 PM,0.69,37,171,35,36,29,1,50,67,23.89,8,218,23,1,0,71,40
Tehran,9/1/2023,4:00:00 PM,1.45,40,117,59,41,24,0,61,36,30.7,92,282,98,1,1,17,19
Tehran,9/1/2023,4:10:00 PM,0.75,23,179,22,48,92,1,49,47,45.96,39,201,23,0,1,97,61
Tehran,9/1/2023,4:20:00 PM,0.52,60,126,86,19,56,1,90,42,30.66,79,195,19,1,1,1,73
Tehran,9/1/2023,4:30:00 PM,0.88,58,22,50,39,93,0,50,81,5.35,88,190,54,1,0,21,82
Tehran,9/1/2023,4:40:00 PM,0.79,30,146,18,36,81,0,47,43,19.64,3,17,98,1,1,19,7
Tehran,9/1/2023,4:50:00 PM,1.04,2,197,27,5,42,0,66,60,21.05,73,21,43,1,0,33,13
Tehran,9/1/2023,5:00:00 PM,0.56,62,192,42,11,54,0,28,22,2.07,27,53,35,0,0,45,30
Tehran,9/1/2023,5:10:00 PM,1.38,58,76,49,41,20,1,23,16,20.65,89,239,4,0,1,30,85
Tehran,9/1/2023,5:20:00 PM,1.11,91,129,50,20,83,0,2,71,43.77,75,30,36,1,0,92,95
Tehran,9/1/2023,5:30:00 PM,1.15,86,43,86,44,100,1,11,51,31.98,41,106,81,0,0,72,3
Tehran,9/1/2023,5:40:00 PM,0.63,46,129,89,34,92,1,36,22,32.58,41,275,88,1,0,99,76
Tehran,9/1/2023,5:50:00 PM,0.85,67,146,11,39,52,1,83,57,12.5,42,206,80,1,0,91,59
Tehran,9/1/2023,6:00:00 PM,1.07,68,72,22,22,83,0,54,79,27.41,74,22,46,1,1,35,100
Tehran,9/1/2023,6:10:00 PM,0.75,86,179,45,47,73,1,25,12,46.91,11,290,42,1,0,28,84
Tehran,9/1/2023,6:20:00 PM,1.19,63,137,81,9,94,0,31,68,18.99,34,238,66,0,1,49,34
Tehran,9/1/2023,6:30:00 PM,1.16,86,28,65,28,57,1,62,31,5.74,65,22,7,1,1,49,4
Tehran,9/1/2023,6:40:00 PM,0.65,39,59,45,2,19,0,68,90,25.95,14,90,17,1,1,56,14
Tehran,9/1/2023,6:50:00 PM,0.7,78,135,47,11,100,0,72,12,0.92,52,269,31,1,0,58,36
Tehran,9/1/2023,7:00:00 PM,0.73,100,153,61,29,55,1,41,4,24.45,38,115,3,1,1,46,52
Tehran,9/1/2023,7:10:00 PM,1.17,4,45,75,30,32,1,90,49,47.03,19,154,0,0,0,17,68
Tehran,9/1/2023,7:20:00 PM,0.82,66,109,71,48,92,0,72,7,40.51,0,27,58,0,1,7,34
Tehran,9/1/2023,7:30:00 PM,0.96,56,38,84,47,14,1,41,35,49.66,6,185,10,1,1,28,40
Tehran,9/1/2023,7:40:00 PM,1.34,18,49,4,9,37,0,92,50,43.77,43,82,22,0,1,97,80
Tehran,9/1/2023,7:50:00 PM,1.37,57,142,71,26,56,0,7,47,7.75,72,74,16,1,1,11,87
Tehran,9/1/2023,8:00:00 PM,0.78,64,116,76,30,15,1,1,5,44.9,53,42,3,0,0,92,39
Tehran,9/1/2023,8:10:00 PM,0.77,77,66,21,21,24,1,18,38,27.27,16,253,78,1,1,80,57
Tehran,9/1/2023,8:20:00 PM,0.93,36,188,3,41,39,1,29,84,22.84,23,144,75,1,0,33,2
Tehran,9/1/2023,8:30:00 PM,0.54,6,156,80,17,60,1,59,89,4.62,21,16,51,1,1,74,97
Tehran,9/1/2023,8:40:00 PM,0.83,25,192,30,13,14,1,64,46,8.74,68,22,35,1,0,0,0
Tehran,9/1/2023,8:50:00 PM,0.69,29,92,48,26,48,0,52,94,38.69,50,297,67,0,1,49,28
Tehran,9/1/2023,9:00:00 PM,0.88,60,36,68,40,52,1,2,78,15.58,19,116,48,0,1,42,13
Tehran,9/1/2023,9:10:00 PM,1.49,3,55,70,2,77,1,71,47,48.19,69,65,35,1,0,41,81
Tehran,9/1/2023,9:20:00 PM,0.59,60,19,69,14,96,0,85,22,44.02,26,214,8,0,1,97,49
Tehran,9/1/2023,9:30:00 PM,1.09,72,112,87,35,32,0,15,77,40.25,77,44,65,1,1,87,41
Tehran,9/1/2023,9:40:00 PM,1.45,0,129,19,42,51,1,100,94,33.14,10,241,86,0,0,56,78
Tehran,9/1/2023,9:50:00 PM,1.44,81,47,91,10,31,1,83,39,37.36,53,28,6,0,1,55,77
Tehran,9/1/2023,10:00:00 PM,0.81,57,200,16,4,33,1,32,71,9.34,38,40,80,0,1,86,82
Tehran,9/1/2023,10:10:00 PM,0.93,41,67,41,45,64,0,33,73,14.88,95,86,1,1,0,64,56
Tehran,9/1/2023,10:20:00 PM,0.85,99,31,18,7,7,0,30,74,3.18,8,296,18,0,0,96,38
Tehran,9/1/2023,10:30:00 PM,0.66,59,153,98,36,16,1,76,11,34.82,58,167,78,0,0,72,57
Tehran,9/1/2023,10:40:00 PM,0.64,9,122,52,39,1,1,89,29,23.86,48,181,37,0,0,55,49
Tehran,9/1/2023,10:50:00 PM,1.15,23,61,18,26,59,1,62,90,11.49,95,217,17,1,1,60,45
Tehran,9/1/2023,11:00:00 PM,1.27,70,11,40,41,64,1,75,9,19.93,74,272,55,1,1,93,63
Tehran,9/1/2023,11:10:00 PM,0.71,18,147,83,26,61,0,39,88,24.08,87,119,65,0,1,94,94
Tehran,9/1/2023,11:20:00 PM,1.11,86,195,10,24,22,0,91,23,3.99,45,138,91,1,1,60,95
Tehran,9/1/2023,11:30:00 PM,1.25,64,39,91,23,100,0,56,95,6,59,270,29,0,1,70,69
Tehran,9/1/2023,11:40:00 PM,1.16,44,149,6,49,81,1,2,27,7.95,19,211,74,0,1,73,0
Tehran,9/1/2023,11:50:00 PM,0.96,17,71,23,38,6,0,6,73,33.39,41,96,76,0,0,45,33
Tehran,9/2/2023,12:00:00 AM,0.95,40,156,1,22,88,0,2,5,2.66,51,245,25,1,0,73,98
Tehran,9/2/2023,12:10:00 AM,0.85,10,51,10,0,22,0,96,53,2.36,13,204,50,0,0,68,8
Tehran,9/2/2023,12:20:00 AM,1.17,60,166,75,1,37,1,62,9,12.3,9,36,48,1,1,41,59
Tehran,9/2/2023,12:30:00 AM,0.74,50,127,55,36,16,0,76,71,47.94,95,137,6,0,1,84,4
Tehran,9/2/2023,12:40:00 AM,0.82,97,110,79,27,72,1,80,81,29.16,23,26,83,1,1,50,45
Tehran,9/2/2023,12:50:00 AM,1.13,49,199,85,48,47,1,58,45,43.01,24,186,5,1,1,62,50
Tehran,9/2/2023,1:00:00 AM,0.84,6,80,13,23,63,1,14,66,33.07,57,106,31,1,1,81,63
Tehran,9/2/2023,1:10:00 AM,0.59,15,20,34,18,37,1,48,32,18.86,41,27,25,0,0,6,4
Tehran,9/2/2023,1:20:00 AM,0.76,73,153,56,13,52,1,22,26,21.03,88,194,93,1,0,19,29
Tehran,9/2/2023,1:30:00 AM,1.43,65,32,15,3,38,0,27,88,25.05,21,152,64,0,1,58,24
Tehran,9/2/2023,1:40:00 AM,1.12,16,86,73,15,14,0,50,9,36.35,16,286,78,1,0,72,10
Tehran,9/2/2023,1:50:00 AM,0.89,5,78,70,41,39,1,97,47,37.87,78,276,60,0,0,68,18
Tehran,9/2/2023,2:00:00 AM,1.07,0,47,79,41,8,1,73,17,3.66,76,51,87,1,1,43,67
Tehran,9/2/2023,2:10:00 AM,1.33,34,22,40,0,96,1,17,83,30.52,87,286,69,1,0,95,92
Tehran,9/2/2023,2:20:00 AM,1,8,75,53,27,98,1,14,26,19.78,41,178,46,1,1,47,66
Tehran,9/2/2023,2:30:00 AM,0.86,78,107,88,5,27,0,65,61,46.02,76,215,98,1,0,34,79
Tehran,9/2/2023,2:40:00 AM,0.76,60,12,48,26,19,0,26,64,5.14,0,212,4,0,1,91,49
Tehran,9/2/2023,2:50:00 AM,0.97,9,138,39,9,85,0,52,58,49.19,10,20,62,0,0,74,73
Tehran,9/2/2023,3:00:00 AM,0.6,33,30,20,17,38,1,98,83,21.51,23,265,30,0,0,34,84
Tehran,9/2/2023,3:10:00 AM,0.78,72,127,60,9,18,0,100,90,27.33,29,131,65,1,0,42,38
Tehran,9/2/2023,3:20:00 AM,1.05,84,42,45,46,24,0,96,8,34.95,55,64,39,1,1,85,67
Tehran,9/2/2023,3:30:00 AM,1.43,76,27,91,38,54,0,56,17,45.71,48,198,78,1,0,36,42
Tehran,9/2/2023,3:40:00 AM,0.68,82,37,75,5,8,0,65,13,20.2,69,31,63,0,0,75,89
Tehran,9/2/2023,3:50:00 AM,0.87,8,160,73,39,74,0,73,38,32.87,36,20,17,0,1,82,26
Tehran,9/2/2023,4:00:00 AM,1,28,75,80,42,1,1,93,21,19.1,79,168,31,0,1,33,85
Tehran,9/2/2023,4:10:00 AM,1.34,41,132,77,50,98,0,90,54,39.38,59,125,18,0,0,85,19
Tehran,9/2/2023,4:20:00 AM,0.54,13,109,77,27,78,1,18,70,34.8,64,87,22,1,1,97,19
Tehran,9/2/2023,4:30:00 AM,0.55,37,55,94,9,83,0,66,63,20.72,40,115,67,1,0,53,85
Tehran,9/2/2023,4:40:00 AM,1.19,79,140,87,26,23,0,16,97,2.05,92,123,67,1,1,83,41
Tehran,9/2/2023,4:50:00 AM,1.2,91,58,57,10,91,1,38,52,2.52,37,60,29,0,1,49,92
Tehran,9/2/2023,5:00:00 AM,0.67,18,121,20,38,52,1,70,97,27.47,18,160,43,1,0,73,67
Tehran,9/2/2023,5:10:00 AM,1.1,1,86,72,11,51,1,4,38,29.36,90,283,55,1,1,87,20
Tehran,9/2/2023,5:20:00 AM,1.09,21,78,3,34,29,0,35,41,28,86,288,67,1,1,59,84
Tehran,9/2/2023,5:30:00 AM,1.06,64,72,53,7,46,1,36,26,6.82,0,163,61,0,1,84,64
Tehran,9/2/2023,5:40:00 AM,1.18,66,164,95,23,97,0,58,48,16.38,46,100,7,0,0,45,2
Tehran,9/2/2023,5:50:00 AM,0.53,27,130,52,42,38,1,59,30,37.37,33,198,13,0,0,71,68
Tehran,9/2/2023,6:00:00 AM,0.69,94,124,12,12,68,0,0,20,13.94,25,260,51,0,1,23,74
Tehran,9/2/2023,6:10:00 AM,0.56,33,176,86,15,0,0,5,5,36.39,56,268,71,0,0,60,34
Tehran,9/2/2023,6:20:00 AM,1.01,5,200,25,29,30,1,11,43,36.65,54,141,49,1,0,89,65
Tehran,9/2/2023,6:30:00 AM,1.24,53,93,31,14,25,1,41,82,18.29,22,203,35,1,0,71,81
Tehran,9/2/2023,6:40:00 AM,1.4,41,34,36,9,34,1,27,56,37.23,20,184,51,0,0,48,99
Tehran,9/2/2023,6:50:00 AM,1.04,28,10,21,20,32,0,84,46,6.99,3,89,59,1,1,41,19
Tehran,9/2/2023,7:00:00 AM,1.32,5,89,31,10,98,0,27,46,41.06,84,253,6,1,0,77,32
Tehran,9/2/2023,7:10:00 AM,0.65,97,197,46,28,64,0,83,87,40.66,21,167,68,0,0,90,58
Tehran,9/2/2023,7:20:00 AM,0.74,99,190,60,2,39,1,58,49,48.94,88,60,62,1,0,76,55
Tehran,9/2/2023,7:30:00 AM,0.93,42,185,65,49,31,1,80,62,11.13,91,12,56,0,0,14,46
Tehran,9/2/2023,7:40:00 AM,1.45,14,100,71,1,24,0,93,63,1.89,83,88,95,0,1,44,83
Tehran,9/2/2023,7:50:00 AM,0.74,13,185,69,9,74,1,9,8,4.89,49,237,35,0,0,14,92
Tehran,9/2/2023,8:00:00 AM,0.59,70,125,81,33,40,0,0,75,30.75,100,35,66,1,1,5,74
Tehran,9/2/2023,8:10:00 AM,1.01,59,195,37,11,90,0,89,21,4.78,43,30,85,0,0,30,97
Tehran,9/2/2023,8:20:00 AM,0.89,5,101,91,10,79,1,40,67,37.5,66,35,52,1,1,94,66
Tehran,9/2/2023,8:30:00 AM,1.03,74,11,16,47,65,0,62,20,7.61,40,140,61,0,1,98,33
Tehran,9/2/2023,8:40:00 AM,0.6,40,99,95,45,60,0,54,29,17.56,7,156,17,0,0,91,54
Tehran,9/2/2023,8:50:00 AM,0.81,44,67,92,24,61,0,71,36,33.48,55,73,24,0,0,80,10
Tehran,9/2/2023,9:00:00 AM,1.42,34,107,3,5,15,1,32,77,39.84,2,281,40,0,0,3,71
Tehran,9/2/2023,9:10:00 AM,0.77,53,142,6,5,6,0,5,95,32.16,62,144,90,1,1,35,55
Tehran,9/2/2023,9:20:00 AM,1.1,97,11,18,47,10,0,39,3,16.59,32,56,25,1,1,85,30
Tehran,9/2/2023,9:30:00 AM,0.58,77,13,95,34,16,0,71,64,48.22,28,153,61,0,1,20,100
Tehran,9/2/2023,9:40:00 AM,1.23,6,16,66,12,75,0,1,78,34.62,46,276,62,1,0,26,77
Tehran,9/2/2023,9:50:00 AM,0.62,15,38,47,25,75,1,52,69,45.37,52,288,28,1,0,69,61
Tehran,9/2/2023,10:00:00 AM,1.04,26,24,11,19,22,0,45,63,37.05,30,205,17,0,1,80,12
Tehran,9/2/2023,10:10:00 AM,1.23,76,87,60,7,30,0,27,33,40.1,30,35,15,1,0,78,75
Tehran,9/2/2023,10:20:00 AM,0.79,93,107,22,40,46,0,20,53,4.01,81,155,54,0,1,8,47
Tehran,9/2/2023,10:30:00 AM,0.78,36,37,50,40,88,0,7,37,31.82,51,164,26,1,1,37,78
Tehran,9/2/2023,10:40:00 AM,1.19,29,171,0,9,66,1,42,73,9.18,44,86,6,0,0,49,0
Tehran,9/2/2023,10:50:00 AM,1.39,57,72,67,24,93,1,20,44,33.48,70,117,33,0,0,78,100
Tehran,9/2/2023,11:00:00 AM,1.22,49,111,28,3,55,1,88,15,21.62,15,202,8,0,0,22,93
Tehran,9/2/2023,11:10:00 AM,0.93,65,64,31,18,92,0,66,34,44.71,71,137,31,0,1,11,75
Tehran,9/2/2023,11:20:00 AM,0.97,10,82,8,22,52,0,36,50,23.35,84,61,76,1,1,97,58
Tehran,9/2/2023,11:30:00 AM,1.2,57,109,11,33,98,0,38,100,24.59,57,112,22,0,0,25,1
Tehran,9/2/2023,11:40:00 AM,0.87,91,100,47,43,50,0,57,50,40.67,71,267,35,0,1,78,26
Tehran,9/2/2023,11:50:00 AM,1.1,98,129,29,46,88,1,95,46,3.43,40,95,52,1,1,57,36
Tehran,9/2/2023,12:00:00 PM,0.56,42,135,42,13,44,1,37,54,46,45,78,6,1,0,89,67
Tehran,9/2/2023,12:10:00 PM,0.59,21,170,0,25,48,0,26,19,44.68,2,283,13,0,0,23,73
Tehran,9/2/2023,12:20:00 PM,1.35,86,192,93,6,77,0,71,73,27.21,66,131,75,0,0,14,54
Tehran,9/2/2023,12:30:00 PM,0.51,14,44,18,8,96,0,69,44,15.99,45,251,69,1,0,81,49
Tehran,9/2/2023,12:40:00 PM,1.49,52,189,9,47,69,1,67,94,35.43,12,222,63,1,0,55,45
Tehran,9/2/2023,12:50:00 PM,1.33,69,25,69,19,13,1,0,13,23.59,26,52,12,1,1,15,50
Tehran,9/2/2023,1:00:00 PM,1.28,97,131,18,1,13,1,85,40,40.52,31,166,60,0,1,76,22
Tehran,9/2/2023,1:10:00 PM,1.15,85,91,65,23,29,1,63,65,27.15,57,286,71,0,0,62,46
Tehran,9/2/2023,1:20:00 PM,1.17,47,30,26,44,44,1,81,90,27.09,77,222,67,0,0,69,82
Tehran,9/2/2023,1:30:00 PM,1.13,41,154,36,20,86,1,3,26,18.85,80,275,98,0,1,3,17
Tehran,9/2/2023,1:40:00 PM,1.39,52,170,47,24,29,0,3,63,7.69,68,134,84,0,0,80,41
Tehran,9/2/2023,1:50:00 PM,0.81,39,174,58,12,20,0,34,24,19.78,92,83,78,1,0,81,55
Tehran,9/2/2023,2:00:00 PM,0.53,98,166,85,22,80,0,20,10,17.01,5,180,56,0,0,37,48
Tehran,9/2/2023,2:10:00 PM,0.84,56,169,94,16,83,1,69,95,16.7,75,127,82,0,0,83,29
